feature,importance
morgan_1274,6
morgan_407,6
morgan_440,6
morgan_1712,6
morgan_1272,6
morgan_804,6
morgan_805,6
morgan_1176,6
morgan_87,6
morgan_456,6
maccs_66,6
morgan_1316,6
morgan_203,6
maccs_36,6
morgan_1292,6
morgan_1065,6
morgan_953,6
morgan_1032,6
morgan_576,6
morgan_79,6
morgan_428,6
morgan_1726,6
morgan_1245,6
morgan_294,6
morgan_1426,6
maccs_64,6
morgan_118,6
morgan_1236,6
morgan_281,6
morgan_888,6
morgan_1599,6
morgan_987,6
morgan_1918,6
morgan_454,6
maccs_54,6
morgan_743,6
morgan_1682,6
morgan_1070,6
morgan_711,6
morgan_1069,6
morgan_195,6
morgan_1413,6
morgan_661,5
morgan_1173,5
morgan_750,5
morgan_667,5
morgan_327,5
morgan_749,5
morgan_1993,5
morgan_985,5
morgan_1528,5
morgan_9,5
morgan_1859,5
morgan_1518,5
morgan_1853,5
morgan_1708,5
morgan_207,5
morgan_255,5
morgan_1455,5
morgan_1020,5
morgan_338,5
morgan_339,5
morgan_92,5
morgan_216,5
morgan_1430,5
morgan_277,5
morgan_1790,5
morgan_62,5
morgan_788,5
morgan_1030,5
morgan_1155,5
morgan_2043,5
maccs_99,5
maccs_80,5
morgan_798,5
morgan_1150,5
morgan_916,5
morgan_398,5
morgan_1657,5
morgan_808,5
morgan_552,5
maccs_145,5
morgan_1795,5
morgan_74,5
morgan_1649,5
morgan_171,5
morgan_1946,5
morgan_1950,5
morgan_524,5
morgan_67,5
maccs_41,5
morgan_1706,5
morgan_1433,5
morgan_1162,5
morgan_638,5
morgan_635,5
maccs_42,5
morgan_909,5
morgan_1984,5
morgan_1265,5
maccs_65,5
maccs_23,5
morgan_350,5
morgan_467,5
morgan_930,4
maccs_37,4
morgan_1246,4
morgan_319,4
morgan_932,4
morgan_83,4
morgan_318,4
morgan_305,4
morgan_1572,4
morgan_1281,4
morgan_758,4
morgan_872,4
morgan_1564,4
morgan_285,4
morgan_889,4
morgan_221,4
morgan_1729,4
morgan_747,4
morgan_65,4
morgan_795,4
morgan_898,4
morgan_965,4
morgan_1758,4
maccs_148,4
morgan_1507,4
morgan_147,4
morgan_1035,4
morgan_205,4
morgan_1887,4
morgan_472,4
morgan_1362,4
morgan_99,4
morgan_1647,4
morgan_1366,4
morgan_1368,4
morgan_155,4
morgan_197,4
morgan_1375,4
morgan_1063,4
morgan_1912,4
morgan_1143,4
morgan_387,4
morgan_21,4
maccs_76,4
morgan_581,4
morgan_2042,4
morgan_574,4
morgan_1929,4
morgan_1099,4
morgan_381,4
morgan_1333,4
morgan_564,4
morgan_563,4
morgan_561,4
morgan_1211,4
morgan_378,4
morgan_45,4
morgan_1653,4
morgan_1624,4
morgan_1434,4
morgan_696,4
maccs_70,4
maccs_114,4
morgan_1856,4
morgan_1615,4
morgan_687,4
morgan_668,4
morgan_413,4
morgan_712,4
morgan_120,4
morgan_690,4
morgan_713,4
morgan_714,4
morgan_884,4
morgan_1614,4
morgan_1344,4
morgan_912,3
morgan_1457,3
morgan_526,3
morgan_1476,3
morgan_893,3
morgan_1735,3
morgan_527,3
morgan_1270,3
morgan_827,3
morgan_937,3
morgan_1185,3
morgan_2010,3
maccs_122,3
morgan_1441,3
morgan_500,3
morgan_1295,3
morgan_117,3
morgan_146,3
morgan_2026,3
morgan_1747,3
morgan_245,3
morgan_1982,3
morgan_857,3
morgan_1783,3
maccs_103,3
morgan_488,3
morgan_2029,3
morgan_1969,3
morgan_1146,3
morgan_838,3
morgan_497,3
morgan_133,3
maccs_55,3
morgan_911,3
morgan_13,3
morgan_2000,3
morgan_723,3
morgan_725,3
morgan_556,3
morgan_1501,3
morgan_1667,3
morgan_1693,3
morgan_1061,3
morgan_1058,3
morgan_56,3
morgan_693,3
morgan_740,3
morgan_61,3
morgan_1076,3
morgan_311,3
morgan_744,3
morgan_1360,3
morgan_1883,3
morgan_46,3
morgan_342,3
morgan_1353,3
morgan_298,3
morgan_109,3
morgan_1085,3
morgan_1386,3
morgan_565,3
morgan_1488,3
morgan_952,3
morgan_728,3
morgan_1389,3
morgan_593,3
morgan_50,3
morgan_960,3
morgan_1574,3
maccs_67,3
morgan_1921,3
morgan_1004,2
